experiment,dataset,jitter_value,n,dice_mean,dice_std,dice_delta_mean,dice_delta_std
scale,tnsc2020,0.85,100,0.8958083424048441,0.03271305243764444,-0.05039864716218559,0.033501824439468315
scale,tnsc2020,0.9,100,0.9280506027586223,0.025161652753835795,-0.01815638680840732,0.020883096673819178
scale,tnsc2020,0.95,100,0.9421627503641542,0.02318992614223244,-0.004044239202875373,0.012640278138168039
scale,tnsc2020,1.05,100,0.9433712275057797,0.027632199878693184,-0.0028357620612498658,0.014198029203500257
scale,tnsc2020,1.1,100,0.9359404985929628,0.032581350320629775,-0.01026649097406686,0.020709396772842167
scale,tnsc2020,1.15,100,0.9255185994169447,0.03643388549787004,-0.02068839015008485,0.02596021517847264
scale,ultrabones100k,1.0,100,0.9065237262352319,0.03455402686713223,0.0,0.0
scale,ultrabones100k,0.85,100,0.8509822638270451,0.048655421982975164,-0.05554146240818679,0.039703830111654605
scale,ultrabones100k,0.9,100,0.8798036967177122,0.04104871749743403,-0.026720029517519867,0.028763111130083983
scale,ultrabones100k,0.95,100,0.9002856328596802,0.03558194434614998,-0.006238093375551821,0.014336180038370299
scale,ultrabones100k,1.05,100,0.8979041235084882,0.036376986970428744,-0.008619602726743659,0.010407702324015743
scale,ultrabones100k,1.1,100,0.8792149209452816,0.03672434068190397,-0.02730880528995029,0.01830135675724354
scale,ultrabones100k,1.15,100,0.8551019703614461,0.0372373951009599,-0.05142175587378588,0.024860700682656264
scale,umud,1.0,100,0.6056794026830582,0.06525900629462071,0.0,0.0
scale,umud,0.85,100,0.5966944217870486,0.05950336600435093,-0.008984980896009666,0.01689433644502062
scale,umud,0.9,100,0.6035683852253583,0.061615159708667704,-0.002111017457699873,0.012373190124144066
scale,umud,0.95,100,0.6072857106819861,0.06443040118617502,0.001606307998927915,0.00637820106680236
scale,umud,1.05,100,0.5998554820592958,0.06657047774799628,-0.005823920623762402,0.006914288394973754
scale,umud,1.1,100,0.5936438902200929,0.06858890404637905,-0.012035512462965324,0.010649511216435873
scale,umud,1.15,100,0.5882041283457533,0.06941074703450249,-0.01747527433730486,0.014127606391146467
scale,roblus,1.0,100,0.584941069642591,0.10261581844527454,0.0,0.0
scale,roblus,0.85,100,0.5932450794589725,0.0960117809596123,0.008304009816381552,0.023797266326272104
scale,roblus,0.9,100,0.5933006446339221,0.09544181628619967,0.008359574991331067,0.016570998949939072
scale,roblus,0.95,100,0.5882242234327508,0.0977583967658336,0.003283153790159832,0.011958770401958892
scale,roblus,1.05,100,0.5723368489202137,0.10540272563067549,-0.012604220722377261,0.010703822161276359
scale,roblus,1.1,100,0.5457309084583565,0.09885033571086294,-0.03921016118423445,0.01853867780000953
scale,roblus,1.15,100,0.5226922010356846,0.09474919466203881,-0.06224886860690643,0.019680602929538406
translation,aulid,0.0,100,0.9098205547179186,0.045609100630269905,0.0,0.0
translation,aulid,0.025,100,0.9063408187203953,0.04432619953951715,-0.0034797359975232245,0.011407280159577943
translation,aulid,0.05,100,0.8925000843687526,0.04809817933583949,-0.01732047034916595,0.02879323263450758
translation,aulid,0.075,100,0.8751853421913391,0.04644379183426247,-0.034635212526579355,0.032491097926506084
translation,aulid,0.1,100,0.8524359911413829,0.04916462098644315,-0.057384563576535624,0.0385280192364143
translation,aulid,0.125,100,0.8286509981741803,0.0468989206510499,-0.08116955654373832,0.042300372616807407
translation,aulid,0.15,100,0.7973149016118205,0.053900025356548,-0.11250565310609803,0.05457212898597405
translation,blusg,0.0,100,0.9152882423806168,0.056322259713017936,0.0,0.0
translation,blusg,0.025,100,0.9134207749929414,0.05715982552123144,-0.00186746738767542,0.010283444478803567
translation,blusg,0.05,100,0.9058308314278909,0.06002408509766944,-0.00945741095272585,0.023324378436756405
translation,blusg,0.075,100,0.8914996937537439,0.06341407540942241,-0.02378854862687281,0.033038189829144624
translation,blusg,0.1,100,0.8659024700593696,0.0702380313729612,-0.04938577232124716,0.04422487298146794
translation,blusg,0.125,100,0.8355080657416545,0.0774208970655964,-0.07978017663896228,0.057393042468156935
translation,blusg,0.15,100,0.800633517618603,0.08575071010547405,-0.11465472476201373,0.07187389948025673
translation,busbra,0.0,100,0.9362192354260672,0.027106945889886744,0.0,0.0
translation,busbra,0.025,100,0.9328795704599513,0.027863210546859106,-0.0033396649661159594,0.00932505189986195
translation,busbra,0.05,100,0.9269415147630714,0.028659386447448122,-0.009277720662995894,0.013791252399913245
translation,busbra,0.075,100,0.9141752638675423,0.03157819037759644,-0.022043971558524937,0.021122007392711948
translation,busbra,0.1,100,0.8960606637676439,0.040335569139430434,-0.04015857165842334,0.032213248537574006
translation,busbra,0.125,100,0.8690569474440066,0.05048914741875262,-0.06716228798206071,0.04450210914097944
translation,busbra,0.15,100,0.8368030360225213,0.0615914420985374,-0.09941619940354597,0.05729271813790394
translation,busi,0.0,100,0.9387666246928938,0.02528957387385149,0.0,0.0
translation,busi,0.025,100,0.936286647545393,0.02589044244770209,-0.0024799771475008414,0.009262210249825027
translation,busi,0.05,100,0.9307671360206917,0.028464633172778142,-0.007999488672202053,0.013915513626305134
translation,busi,0.075,100,0.9212116198054444,0.03250647640174126,-0.01755500488744939,0.020006467334748326
translation,busi,0.1,100,0.9039465591425937,0.03676215243153961,-0.03482006555030017,0.025755082782558194
translation,busi,0.125,100,0.8797344126256199,0.04208991584138028,-0.059032212067273965,0.034775716519506686
translation,busi,0.15,100,0.8493705642369944,0.052184530859804,-0.08939606045589947,0.04871168632026316
translation,camus,0.0,100,0.9504953372854448,0.017429465163717957,0.0,0.0
translation,camus,0.025,100,0.9480256381513728,0.0183700095387989,-0.002469699134071994,0.008995139302655962
translation,camus,0.05,100,0.9430256873078445,0.01995820528821444,-0.007469649977600151,0.015754004251172127
translation,camus,0.075,100,0.9300775868145774,0.0283006874127444,-0.020417750470867274,0.024061501300132074
translation,camus,0.1,100,0.8971575553514315,0.10898780895056136,-0.053337781934013284,0.10727325322454022
translation,camus,0.125,100,0.8473336650253275,0.1828431146457822,-0.10316167226011734,0.18132127913376758
translation,camus,0.15,100,0.8067803734647279,0.20968144709293848,-0.1437149638207169,0.2073866061262746
translation,gist514,0.0,100,0.9276152738001422,0.03421435203606511,0.0,0.0
translation,gist514,0.025,100,0.9242055342307245,0.03414953318128003,-0.0034097395694176525,0.011160240423352438
translation,gist514,0.05,100,0.91637346334277,0.035679189187893874,-0.011241810457372102,0.017468089846596965
translation,gist514,0.075,100,0.9026161943249901,0.03928238325578758,-0.024999079475152057,0.024543105215005283
translation,gist514,0.1,100,0.8809400840774455,0.04392854931485647,-0.04667518972269659,0.033054255241550944
translation,gist514,0.125,100,0.8525354669271343,0.05294484847984754,-0.07507980687300783,0.046471712701988716
translation,gist514,0.15,100,0.8163425214062668,0.06443989743316131,-0.1112727523938753,0.05960013155136182
translation,mmotu,0.0,100,0.9505629283843767,0.024168535407407262,0.0,0.0
translation,mmotu,0.025,100,0.9493778110954956,0.024990055987195878,-0.0011851172888810246,0.00832447770727066
translation,mmotu,0.05,100,0.9454075477076946,0.028514298831650933,-0.005155380676681979,0.014694246491047358
translation,mmotu,0.075,100,0.9309032847115372,0.03438231426553329,-0.019659643672839483,0.025359238683961692
translation,mmotu,0.1,100,0.9063338662339495,0.03883656060190831,-0.044229062150427094,0.03144188644326843
translation,mmotu,0.125,100,0.8738020287708558,0.050968575049555105,-0.07676089961352091,0.04672959007668373
translation,mmotu,0.15,100,0.8341089973652313,0.06932226097596973,-0.11645393101914545,0.06817643341703113
translation,oku,0.0,100,0.9575135157742397,0.018359061121724043,0.0,0.0
translation,oku,0.025,100,0.9569994174084566,0.016881165574099067,-0.0005140983657830722,0.007219334049495392
translation,oku,0.05,100,0.9527067135379444,0.018455207116222627,-0.004806802236295343,0.015541627543207998
translation,oku,0.075,100,0.9400351393627239,0.026340129460848193,-0.01747837641151589,0.024379939025899303
translation,oku,0.1,100,0.9139303504375248,0.042437071261885395,-0.04358316533671494,0.042610619892404465
translation,oku,0.125,100,0.8789736415730361,0.062176924603151974,-0.07853987420120359,0.062634004569476
translation,oku,0.15,100,0.8384442251135086,0.07860881348872618,-0.11906929066073112,0.07954804256080521
translation,uns,0.0,39,0.9259583907391007,0.024919651352302244,0.0,0.0
translation,uns,0.025,39,0.9179829362633245,0.024866442531776056,-0.007975454475776184,0.010918907649193073
translation,uns,0.05,39,0.9000680658158794,0.028630445692663785,-0.02589032492322121,0.019560579853869615
translation,uns,0.075,39,0.8732543932009625,0.03460893557603695,-0.05270399753813811,0.027798812610700004
translation,uns,0.1,39,0.8416186719377188,0.042534878572225716,-0.08433971880138194,0.037749927767672574
translation,uns,0.125,39,0.8096764914687168,0.05323336882029055,-0.11628189927038385,0.048973913082065036
translation,uns,0.15,39,0.774521148184314,0.06517038051761158,-0.15143724255478672,0.06212990509197558
translation,tnsc2020,0.0,100,0.9462069895670296,0.023372085400086243,0.0,0.0
translation,tnsc2020,0.025,100,0.9425065300217319,0.025413960755063664,-0.003700459545297713,0.012916937749776581
translation,tnsc2020,0.05,100,0.9358055643678846,0.028191082420480563,-0.010401425199144963,0.02009615781198751
translation,tnsc2020,0.075,100,0.923643082750504,0.02861327180870673,-0.02256390681652551,0.021882444184285067
translation,tnsc2020,0.1,100,0.9002173715880157,0.035750032147782856,-0.04598961797901396,0.03250654647815129
translation,tnsc2020,0.125,100,0.8677583086905805,0.04982619942704654,-0.07844868087644918,0.04848280135221638
translation,tnsc2020,0.15,100,0.8312749233354375,0.06473855437917211,-0.11493206623159206,0.06593298667561293
translation,ultrabones100k,0.0,100,0.9065237262352319,0.03455402686713223,0.0,0.0
translation,ultrabones100k,0.025,100,0.9016775278157128,0.03510612485822239,-0.004846198419519093,0.012045605355440346
translation,ultrabones100k,0.05,100,0.8878286856593435,0.03715475210281395,-0.018695040575888448,0.022470608210999683
translation,ultrabones100k,0.075,100,0.866349754251597,0.041630480618061454,-0.04017397198363499,0.03207367367062576
translation,ultrabones100k,0.1,100,0.8379019461071793,0.05011233459996828,-0.06862178012805266,0.044822206022028084
translation,ultrabones100k,0.125,100,0.8058030463667464,0.06505652263365508,-0.10072067986848549,0.06263593423476845
translation,ultrabones100k,0.15,100,0.771295251282588,0.08000780171196442,-0.1352284749526439,0.07933370941394285
translation,umud,0.0,100,0.6056794026830582,0.06525900629462071,0.0,0.0
translation,umud,0.025,100,0.6044017955599699,0.06752845654397896,-0.00127760712308836,0.00778349442915604
translation,umud,0.05,100,0.601382343689204,0.06875723341263938,-0.004297058993854239,0.012563955512357733
