dataset,scale,n,dice_mean,dice_std,dice_delta_mean,dice_delta_std
ultrabones100k,1.0,100,0.9065237262352319,0.03455402686713223,0.0,0.0
ultrabones100k,0.75,100,0.7659951275825979,0.053286965495429904,-0.14052859865263398,0.050254923300593016
ultrabones100k,1.25,100,0.8055275304543738,0.03904759508560635,-0.10099619578085818,0.036355979027363095
ultrabones100k,1.5,100,0.6905006230131154,0.0518338400156886,-0.21602310322211654,0.05988543269858516
ultrabones100k,2.0,100,0.503367595966875,0.08700918586082901,-0.4031561302683569,0.09734860161490247
umud,1.0,100,0.6056794026830582,0.06525900629462071,0.0,0.0
umud,0.75,100,0.5800007154991139,0.05454949460792421,-0.02567868718394423,0.024240045975387287
umud,1.25,100,0.577103392058461,0.07440898630733268,-0.02857601062459727,0.02734781318174673
umud,1.5,100,0.5593416082026434,0.09027591179882033,-0.04633779448041477,0.04803508752804651
umud,2.0,100,0.527564003381045,0.11739197625743236,-0.07811539930201317,0.08694701123211714
roblus,1.0,100,0.584941069642591,0.10261581844527454,0.0,0.0
roblus,0.75,100,0.5833357180070888,0.08914974888104744,-0.0016053516355021668,0.03185221328018336
roblus,1.25,100,0.47642749341672613,0.09478077303749964,-0.10851357622586491,0.020409449735178893
roblus,1.5,100,0.37912401144385477,0.0872178408850815,-0.20581705819873622,0.0314199569693051
roblus,2.0,100,0.2276225061324677,0.06977578504562897,-0.3573185635101233,0.049600286807212034
