dataset,jitter_value,n,dice_mean,dice_std,dice_delta_mean,dice_delta_std
oku,0.1,100,0.9139303504375248,0.042437071261885395,-0.04358316533671494,0.042610619892404465
oku,0.15,100,0.8384442251135086,0.07860881348872618,-0.11906929066073112,0.07954804256080521
uns,0.0,39,0.9259583907391007,0.024919651352302244,0.0,0.0
uns,0.025,39,0.9179829362633245,0.024866442531776056,-0.007975454475776184,0.010918907649193073
uns,0.05,39,0.9000680658158794,0.028630445692663785,-0.02589032492322121,0.019560579853869615
uns,0.075,39,0.8732543932009625,0.03460893557603695,-0.05270399753813811,0.027798812610700004
uns,0.1,39,0.8416186719377188,0.042534878572225716,-0.08433971880138194,0.037749927767672574
uns,0.15,39,0.774521148184314,0.06517038051761158,-0.15143724255478672,0.06212990509197558
tnsc2020,0.0,100,0.9462069895670296,0.023372085400086243,0.0,0.0
tnsc2020,0.025,100,0.9425065300217319,0.025413960755063664,-0.003700459545297713,0.012916937749776581
tnsc2020,0.05,100,0.9358055643678846,0.028191082420480563,-0.010401425199144963,0.02009615781198751
tnsc2020,0.075,100,0.923643082750504,0.02861327180870673,-0.02256390681652551,0.021882444184285067
tnsc2020,0.1,100,0.9002173715880157,0.035750032147782856,-0.04598961797901396,0.03250654647815129
tnsc2020,0.15,100,0.8312749233354375,0.06473855437917211,-0.11493206623159206,0.06593298667561293
ultrabones100k,0.0,100,0.9065237262352319,0.03455402686713223,0.0,0.0
ultrabones100k,0.025,100,0.9016775278157128,0.03510612485822239,-0.004846198419519093,0.012045605355440346
ultrabones100k,0.05,100,0.8878286856593435,0.03715475210281395,-0.018695040575888448,0.022470608210999683
ultrabones100k,0.075,100,0.866349754251597,0.041630480618061454,-0.04017397198363499,0.03207367367062576
ultrabones100k,0.1,100,0.8379019461071793,0.05011233459996828,-0.06862178012805266,0.044822206022028084
ultrabones100k,0.15,100,0.771295251282588,0.08000780171196442,-0.1352284749526439,0.07933370941394285
umud,0.0,100,0.6056794026830582,0.06525900629462071,0.0,0.0
umud,0.025,100,0.6044017955599699,0.06752845654397896,-0.00127760712308836,0.00778349442915604
umud,0.05,100,0.601382343689204,0.06875723341263938,-0.004297058993854239,0.012563955512357733
umud,0.075,100,0.597787961304629,0.07067724446390633,-0.007891441378429264,0.01772675524378622
umud,0.1,100,0.5921150338536387,0.0741154982386563,-0.0135643688294195,0.0257931883428272
umud,0.15,100,0.5747531461430601,0.09056833722902317,-0.030926256539998153,0.05160987965501108
roblus,0.0,100,0.584941069642591,0.10261581844527454,0.0,0.0
roblus,0.025,100,0.5797568661658303,0.10096568885206743,-0.005184203476760644,0.008041737112056335
roblus,0.05,100,0.5701424009758094,0.09843391211529104,-0.01479866866678162,0.017008738736109395
roblus,0.075,100,0.5598505867494888,0.10372026604021473,-0.025090482893102103,0.0312504720116465
roblus,0.1,100,0.5454080722206396,0.10386463461116327,-0.03953299742195148,0.037481326093215736
roblus,0.15,100,0.5155100653305126,0.10668110095086196,-0.06943100431207842,0.04711328562294307
